pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
CB05_ALD2,ALD2,1,44.03499,Mmol,mol/s
CB05_ALDX,ALDX,1,39.22808,Mmol,mol/s
CB05_ETH,ETH,1,28.053,Mmol,mol/s
CB05_ETOH,ETOH,1,30.069,Mmol,mol/s
CB05_FORM,FORM,1,45.8447,Mmol,mol/s
CB05_IOLE,IOLE,1,30.026,Mmol,mol/s
CB05_ISOP,ISOP,1,57.09965,Mmol,mol/s
CB05_MEOH,MEOH,1,68.117,Mmol,mol/s
CB05_OLE,OLE,1,32.042,Mmol,mol/s
CB05_PAR,PAR,1,0.992943,Mmol,mol/s
CB05_TERP,TERP,1,29.63422,Mmol,mol/s
CB05_TOL,TOL,1,15.11587,Mmol,mol/s
CB05_UNR,UNR,1,136.2352,Mmol,mol/s
CB05_XYL,XYL,1,96.79334,Mmol,mol/s
PM25,PAL,9.06E-04,1,Mg,g/s
PM25,PCA,0.00343,1,Mg,g/s
PM25,PCL,0.026758,1,Mg,g/s
PM25,PFE,6.75E-04,1,Mg,g/s
PM25,PH2O,2.86E-05,1,Mg,g/s
PM25,PK,0.037723,1,Mg,g/s
PM25,PMG,4.89E-04,1,Mg,g/s
PM25,PMN,2.48E-05,1,Mg,g/s
PM25,PMOTHR,0.075385,1,Mg,g/s
PM25,PNA,5.56E-03,1,Mg,g/s
PM25,PNCOM,0.793224,1,Mg,g/s
PM25,PNH4,0.006773,1,Mg,g/s
PM25,PNO3,0.006223,1,Mg,g/s
PM25,PSI,0.015033,1,Mg,g/s
PM25,PSO4,0.027662,1,Mg,g/s
PM25,PTI,1.03E-04,1,Mg,g/s
SO2,SO2,1,64,Mg,mol/s
SO2,SULF,0.0148,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,1,28,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
NOx,NO,0.9,30,Mg,mol/s
NOx,NO2,0.092,46,Mg,mol/s
NOx,HONO,0.008,47,Mg,mol/s
OC,POC,1,1,Mg,g/s
